,asteroid_Id,name,absolute magnitude,estimated diameter(min),estimated diameter(max),is potentially hazardous asteroid,close approach date,close approach: Earth miss distance,relative velocity,orbiting body
0,2138893,138893 (2000 YH66),18.08,0.6435095206,1.4389310323,False,2021-10-01,64.71671553724111,17.1713267438,Earth
1,2386504,386504 (2009 BP58),18.7,0.4836764882,1.0815335068,False,2021-10-01,31.780410670129964,17.1073616275,Earth
2,3607823,(2012 QL14),24.4,0.0350392641,0.0783501764,False,2021-10-01,49.369182736271995,22.4017287306,Earth
3,3636861,(2013 JE1),19.2,0.3841978911,0.8590926012,False,2021-10-01,26.46324392765735,21.3341866669,Earth
4,3638335,(2013 JV17),27.8,0.0073207399,0.016369672,False,2021-10-01,71.07072943882694,8.6677101656,Earth
5,3829425,(2018 RR5),26.3,0.0146067964,0.0326617897,False,2021-10-01,33.852034972709646,11.4459380794,Earth
6,3831475,(2018 TB3),26.7,0.0121494041,0.0271668934,False,2021-10-01,15.884428575915463,15.6242633551,Earth
7,54196397,(2021 RG14),23.79,0.0464039528,0.1037623929,False,2021-10-01,43.15250208787186,4.9970419191,Earth
8,54200468,(2021 SZ2),23.21,0.0606114923,0.1355314169,False,2021-10-01,23.214702125269852,16.3968608372,Earth
9,54201824,(2021 TX),31.18,0.0015436718,0.0034517551,False,2021-10-01,0.042385624346248,17.717946631,Earth
10,54202334,(2021 TF1),25.91,0.0174805453,0.0390876876,False,2021-10-01,2.229681887248823,14.9151376933,Earth
11,54204646,(2021 TK4),23.3,0.058150704,0.130028927,False,2021-10-01,35.35874247291115,1.431484125,Earth
12,54204656,(2021 TC5),27.01,0.0105330702,0.0235526609,False,2021-10-01,4.694689766046023,6.6990842925,Earth
13,2264357,264357 (2000 AZ93),21.05,0.1638909515,0.3664713084,True,2021-10-06,58.33075620729973,7.2655861504,Earth
14,2365424,365424 (2010 KX7),21.9,0.1108038821,0.2477650126,True,2021-10-06,56.111399759515535,18.8191021732,Earth
15,2503871,503871 (2000 SL),18.16,0.620233153,1.3868834919,False,2021-10-06,65.57702456873432,23.8621572082,Earth
16,2537342,537342 (2015 KN120),20.46,0.21505769,0.4808836139,False,2021-10-06,38.74480503445462,18.0927915044,Earth
17,3014184,(1998 SD9),24.09,0.0404161533,0.0903732663,False,2021-10-06,4.065387072645154,10.8166406798,Earth
18,3288934,(2005 QQ11),22.3,0.0921626549,0.2060819612,False,2021-10-06,32.86605010205048,4.5285167201,Earth
19,3386134,(2007 SW2),21.3,0.1460679643,0.3266178974,False,2021-10-06,52.59402078607756,23.8648217876,Earth
20,3602702,(2012 HA2),21.2,0.1529519353,0.3420109247,False,2021-10-06,19.678893517036155,21.375184255,Earth
21,3761267,(2016 TH93),22.6,0.0802703167,0.1794898848,False,2021-10-06,67.03258348007817,16.5650219744,Earth
22,3799312,(2018 CW2),25.8,0.0183888672,0.0411187571,False,2021-10-06,65.52720307754122,12.0817459072,Earth
23,3831202,(2018 TQ1),23.8,0.046190746,0.1032856481,False,2021-10-06,27.431009333568362,10.9870442163,Earth
24,54076927,(2020 UM5),26.0,0.0167708462,0.0375007522,False,2021-10-06,65.13951983840133,27.5099223666,Earth
25,54195890,(2021 RP12),24.57,0.0324007435,0.0724502651,False,2021-10-06,1.930490455667479,9.654957856,Earth
26,54199807,(2021 ST),25.99,0.0168482569,0.0376738478,False,2021-10-06,2.309188667217723,9.0694555563,Earth
27,54201817,(2021 SL4),24.66,0.0310852938,0.0695088301,False,2021-10-06,18.227824591283127,6.9499715115,Earth
28,54202344,(2021 TR1),25.07,0.0257368254,0.0575492912,False,2021-10-06,7.216745371387957,12.7958971298,Earth
29,54202993,(2021 TU1),22.4,0.0880146521,0.1968067451,False,2021-10-06,39.96602199407916,10.0384640277,Earth
30,54203033,(2021 TL3),24.95,0.0271991277,0.0608190985,False,2021-10-06,10.713770731824154,13.3615040483,Earth
31,54204649,(2021 TQ4),29.94,0.0027324673,0.0061099827,False,2021-10-06,0.381267899042595,6.2277126622,Earth
32,54204650,(2021 TR4),27.8,0.0073207399,0.016369672,False,2021-10-06,0.753028284974784,11.5077731697,Earth
33,54204651,(2021 TS4),27.91,0.0069591304,0.0155610887,False,2021-10-06,1.5874223577695972,8.4681188169,Earth
34,54204653,(2021 TU4),26.29,0.0146742183,0.0328125497,False,2021-10-06,4.674848196633675,13.719563177,Earth
35,54206540,(2021 TG8),27.4,0.0088014652,0.0196806745,False,2021-10-06,2.8732297236649154,8.4671600079,Earth
36,54206546,(2021 TQ8),26.98,0.0106795998,0.023880311,False,2021-10-06,4.3251107863346006,10.7189679326,Earth
37,54215643,(2021 VQ),24.43,0.0345585074,0.0772751717,False,2021-10-06,6.346235889450503,6.6589128873,Earth
38,54216377,(2021 VD4),23.48,0.0535247906,0.1196850702,False,2021-10-06,31.24557256900611,7.4516579958,Earth
39,2162694,162694 (2000 UH11),19.6,0.3195618867,0.7145621017,False,2021-10-07,54.23877642280615,21.9362699285,Earth
40,2363027,363027 (1998 ST27),19.64,0.313729225,0.7015198735,True,2021-10-07,28.075549542414883,13.9025172577,Earth
41,3729141,(2015 TQ21),27.4,0.0088014652,0.0196806745,False,2021-10-07,4.113097678053413,20.7275908032,Earth
42,3753621,(2016 KL1),21.2,0.1529519353,0.3420109247,True,2021-10-07,60.78958654677379,13.9654664513,Earth
43,3774099,(2017 HX3),21.8,0.1160259082,0.2594418179,True,2021-10-07,38.52294955319082,8.2202492339,Earth
44,3775206,(2017 LX),26.3,0.0146067964,0.0326617897,False,2021-10-07,41.669435479227296,15.9679083407,Earth
