,asteroid_Id,asteroid_name,asteroid_found_year
2,3607823,QL14,2012 
3,3636861,JE1,2013 
4,3638335,JV17,2013 
5,3829425,RR5,2018 
6,3831475,TB3,2018 
7,54196397,RG14,2021 
8,54200468,SZ2,2021 
9,54201824,TX,2021 
10,54202334,TF1,2021 
11,54204646,TK4,2021 
12,54204656,TC5,2021 
13,2264357,7 2000 AZ93,26435
14,2365424,4 2010 KX7,36542
15,2503871,1 2000 SL,50387
16,2537342,2 2015 KN120,53734
17,3014184,SD9,1998 
18,3288934,QQ11,2005 
19,3386134,SW2,2007 
20,3602702,HA2,2012 
21,3761267,TH93,2016 
22,3799312,CW2,2018 
23,3831202,TQ1,2018 
24,54076927,UM5,2020 
25,54195890,RP12,2021 
26,54199807,ST,2021 
27,54201817,SL4,2021 
28,54202344,TR1,2021 
29,54202993,TU1,2021 
30,54203033,TL3,2021 
31,54204649,TQ4,2021 
32,54204650,TR4,2021 
33,54204651,TS4,2021 
34,54204653,TU4,2021 
35,54206540,TG8,2021 
36,54206546,TQ8,2021 
37,54215643,VQ,2021 
38,54216377,VD4,2021 
39,2162694,4 2000 UH11,16269
40,2363027,7 1998 ST27,36302
41,3729141,TQ21,2015 
42,3753621,KL1,2016 
43,3774099,HX3,2017 
44,3775206,LX,2017 
45,3837881,AF12,2019 
46,3872646,SS8,2019 
47,54017662,MO3,2020 
48,54137802,HB,2021 
49,54144234,JR2,2021 
50,54185580,PR16,2021 
51,54200440,SD2,2021 
52,54201813,TN,2021 
53,54202995,TX1,2021 
54,54204648,TP4,2021 
55,54206543,TM8,2021 
56,54208045,TU10,2021 
57,54208623,TH12,2021 
58,54209295,TU13,2021 
59,54209297,TZ13,2021 
60,54209298,TA14,2021 
61,54210929,TN22,2021 
62,54215212,UF9,2021 
63,3036044,EY106,2000 
64,3732894,UC67,2015 
65,3831166,SR3,2018 
66,3869331,SB6,2019 
67,54016461,GB1,2020 
68,54016667,HM3,2020 
69,54185140,PB15,2021 
70,54193831,RG4,2021 
71,54200293,RL25,2021 
72,54200438,SC2,2021 
73,54206544,TO8,2021 
74,54208624,TR12,2021 
75,54209300,TH14,2021 
76,54210295,TR21,2021 
77,2533372,2 2014 GG17,53337
78,3789115,VV1,2017 
79,3799247,CC1,2018 
80,3989315,BZ13,2020 
81,54145576,JM7,2021 
82,54190789,QJ2,2021 
83,54203037,SP5,2021 
84,54203013,TW2,2021 
85,54204654,TV4,2021 
86,54208039,TL10,2021 
87,2100004,4 1983 VA,10000
88,2283460,0 2001 PD1,28346
89,2308635,5 2005 YU55,30863
90,3120889,GQ5,2002 
91,3350633,TU7,2006 
92,3617387,VE46,2012 
93,3662633,DE23,2014 
94,3745996,EK84,2016 
95,3759288,RM20,2016 
96,3785769,TJ4,2017 
97,3827354,RJ3,2018 
98,3873144,SY8,2019 
99,3873208,TO,2019 
100,54145460,JG6,2021 
101,54200437,SZ1,2021 
102,54202336,TG1,2021 
103,54202992,TV1,2021 
104,54205437,TP6,2021 
105,54205441,TT6,2021 
106,54207047,TP9,2021 
107,2494710,0 2005 MO13,49471
108,2519354,4 2011 KR12,51935
109,3070801,CQ36,2001 
110,3608823,SU9,2012 
111,54131529,EM4,2021 
112,54194969,RG7,2021 
113,54200306,SV1,2021 
114,54201810,TK,2021 
115,54202330,TB1,2021 
116,54207056,TG10,2021 
117,54207058,TJ10,2021 
118,2408982,2 2002 SP,40898
119,3136727,RO137,2002 
120,3154520,LH,2003 
121,3256323,TF10,2004 
122,3429684,TZ,2008 
123,3430490,TM26,2008 
124,3648538,SU19,2013 
125,3840693,FS,2019 
126,3842680,KK5,2019 
127,3893382,WW,2019 
128,3991547,CA2,2020 
129,54054609,SK4,2020 
130,54143417,JB1,2021 
131,54189957,PY40,2021 
132,54193837,RS4,2021 
133,54196755,RJ15,2021 
134,54200005,SE1,2021 
135,54201811,TM,2021 
136,54202997,SX4,2021 
137,54202342,TP1,2021 
138,54202998,TY1,2021 
139,54203701,TQ3,2021 
140,54203700,TR3,2021 
141,54203710,TC4,2021 
142,54203711,TD4,2021 
143,54205440,TS6,2021 
144,54206547,TR8,2021 
145,54208621,TK12,2021 
146,54208628,TZ12,2021 
147,54215198,UV7,2021 
148,2085770, 1998 UP1,85770
149,2230111,1 2001 BE10,23011
150,2474585,5 2004 HC2,47458
151,3368864,DL41,2007 
152,3612845,UC34,2012 
153,3781579,RN16,2017 
154,3805271,HA1,2018 
155,3839564,EK2,2019 
156,54194324,RF5,2021 
157,54195891,RQ12,2021 
158,54202343,TQ1,2021 
159,54202991,TT1,2021 
160,54203031,TJ3,2021 
161,54203035,TN3,2021 
162,54203038,TO3,2021 
163,54206539,TE8,2021 
164,54208044,TT10,2021 
165,54214054,RY122,2021 
166,3565392,JB10,2011 
167,3685816,RE11,2014 
168,3752011,GV221,2016 
169,3837986,BJ2,2019 
170,3856729,SV4,2019 
171,3869320,SE5,2019 
172,3879168,TZ6,2019 
173,54191343,QF5,2021 
174,54196396,RH14,2021 
175,54201460,SS3,2021 
176,54203014,TY2,2021 
177,54205438,TQ6,2021 
178,54207053,TW9,2021 
179,54208040,TM10,2021 
180,54208619,TK11,2021 
181,54208627,TA13,2021 
182,54209218,TC13,2021 
183,54209294,TT13,2021 
184,54209483,TH15,2021 
185,54210566,UB,2021 
186,54212933,QU64,2021 
187,54214058,RZ122,2021 
188,3177232,FG29,2004 
189,3471974,UQ5,2009 
190,3635072,HL11,2013 
191,3742056,CD31,2016 
192,3748335,FU6,2016 
193,3843777,RY,2019 
194,54055074,TC2,2020 
195,54055076,TE2,2020 
196,54075978,UF3,2020 
197,54175297,LQ24,2021 
198,54184711,PD9,2021 
199,54200006,SF1,2021 
200,54202341,TN1,2021 
201,54207046,TN9,2021 
202,54208043,TS10,2021 
203,54208626,TY12,2021 
204,54209216,TE13,2021 
205,54209492,TS15,2021 
206,54211501,UO,2021 
207,54212683,UP1,2021 
208,54213628,UQ4,2021 
209,2286079,9 2001 TW1,28607
210,2302156,6 2001 SF286,30215
211,2471108,8 2010 CL1,47110
212,3388395,TR68,2007 
213,3760954,TG56,2016 
214,3781723,SG12,2017 
215,54106629,BE3,2021 
216,54178156,PA2,2021 
217,54184280,PT6,2021 
218,54192181,RE1,2021 
219,54197592,RV16,2021 
220,54201459,TB,2021 
221,54203011,SG5,2021 
222,54202996,TZ1,2021 
223,54206542,TN8,2021 
224,54208041,TQ10,2021 
225,54208042,TR10,2021 
226,54209296,TV13,2021 
227,54214056,UZ5,2021 
228,54216374,VB4,2021 
229,3092390,UP,2001 
230,3428531,SY150,2008 
231,3673167,KA91,2014 
232,3836100,VF4,2018 
233,3873141,SW8,2019 
234,3879314,UN3,2019 
235,54076013,UC4,2020 
236,54110078,CT1,2021 
237,54200444,SF2,2021 
238,54201815,TO,2021 
239,54203028,TG3,2021 
240,54208049,TX10,2021 
241,54209220,TG13,2021 
242,54209307,TN14,2021 
243,54210567,UC,2021 
244,54211170,UN,2021 
245,54212701,UH2,2021 
246,54213620,UH4,2021 
247,54216178,VF1,2021 
248,54216188,UW11,2021 
249,54219299,VN11,2021 
250,54231712,TP114,2021 
251,54231711,UC74,2021 
252,2086450, 2000 CK33,86450
253,2417655,5 2006 YF13,41765
254,2513171,1 2004 MD6,51317
255,3673168,KB91,2014 
256,3729845,TG145,2015 
257,3760883,TD55,2016 
258,3879167,TA7,2019 
259,54144105,JK2,2021 
260,54200298,SM1,2021 
261,54202331,TC1,2021 
262,54203702,TS3,2021 
263,54204652,TT4,2021 
264,54204655,TB5,2021 
265,54205435,TN6,2021 
266,54206541,TF8,2021 
267,54206545,TP8,2021 
268,54207054,TX9,2021 
269,54209306,TL14,2021 
270,54209305,TM14,2021 
271,54210569,UE,2021 
272,54215213,UG9,2021 
273,54215654,UF11,2021 
274,2260141,1 2004 QT24,26014
275,3471660,UM,2009 
276,3731587,UG,2015 
277,3739011,YU7,2015 
278,3782066,TH1,2017 
279,3789101,VH1,2017 
280,3791345,XV60,2017 
281,3843783,RE1,2019 
282,3989235,BF10,2020 
283,3991654,DA1,2020 
284,54139093,HB2,2021 
285,54143220,JT,2021 
286,54145782,JG9,2021 
287,54191780,QL5,2021 
288,54192201,RR1,2021 
289,54200472,SF3,2021 
290,54200473,SG3,2021 
291,54201455,SM3,2021 
292,54207051,TU9,2021 
293,54208038,TK10,2021 
294,54208046,TV10,2021 
295,54209217,TD13,2021 
296,54209312,TY14,2021 
297,54210292,TC21,2021 
298,54214717,UT6,2021 
299,54216181,VJ1,2021 
300,3014117,SL36,1998 
301,3725757,PL57,2015 
302,3788124,UD8,2017 
303,3989654,CK1,2020 
304,54200449,SK2,2021 
305,54209219,TF13,2021 
306,54209302,TF14,2021 
307,54209311,TZ14,2021 
308,54209484,TJ15,2021 
309,54210568,UD,2021 
310,54210931,UL,2021 
311,54211504,UP,2021 
312,54212930,UP2,2021 
313,54213613,UD4,2021 
314,54213622,UK4,2021 
315,54214057,UA6,2021 
316,54216382,VK4,2021 
317,54225014,WQ3,2021 
318,3092154,VB3,1996 
319,3076774,GP2,2001 
320,3440319,WK60,2008 
321,3472193,UJ14,2009 
322,3733262,VW1,2015 
323,3760882,TJ55,2016 
324,3789459,WB1,2017 
325,3884023,UM9,2019 
326,54087653,UJ7,2020 
327,54106530,BP1,2021 
328,54154694,LA1,2021 
329,54179304,PH4,2021 
330,54192173,QJ6,2021 
331,54208048,TW10,2021 
332,54212258,US,2021 
333,54213611,UZ3,2021 
334,54213623,UL4,2021 
335,54214046,UQ5,2021 
336,54215637,UV9,2021 
337,54051068,PK3,2020 
338,54137454,GQ10,2021 
339,54138709,HY,2021 
340,54144934,JE5,2021 
341,54195868,RE10,2021 
342,54200446,SG2,2021 
343,54201814,SF4,2021 
344,54202990,TS1,2021 
345,54203019,TC3,2021 
346,54203705,TV3,2021 
347,54203712,TE4,2021 
348,54209215,TB13,2021 
349,54210565,UA,2021 
350,54211781,UQ,2021 
351,54212444,UB1,2021 
352,54212948,UH3,2021 
353,54212949,UJ3,2021 
354,54216379,VG4,2021 
355,54216384,VL4,2021 
356,3553061,XU10,2010 
357,3653322,UM9,2013 
358,3693058,TX32,2014 
359,3759721,SX1,2016 
360,3761747,UO41,2016 
361,3789621,WK13,2017 
362,3831876,UC,2018 
363,3836095,VA4,2018 
364,3840765,GJ,2019 
365,3869345,SU6,2019 
366,54055066,TW1,2020 
367,54102026,YW3,2020 
368,54104267,AR,2021 
369,54144921,JJ4,2021 
370,54197673,RE19,2021 
371,54200300,SN1,2021 
372,54201462,ST3,2021 
373,54210930,UK,2021 
374,54213618,TD32,2021 
375,54213608,UX3,2021 
376,54217193,VQ4,2021 
377,54220002,VK16,2021 
378,54222427,WF,2021 
379,54226401,XB1,2021 
380,2442742,2 2012 WP3,44274
381,3150196,DF16,2003 
382,3152314,GG21,2003 
383,3328632,FK,2006 
384,3757572,NL56,2016 
385,3836414,WD2,2018 
386,3840745,FM2,2019 
387,3883104,UC8,2019 
388,54017045,JN2,2020 
389,54167166,NL2,2021 
390,54202333,TE1,2021 
391,54203009,TT2,2021 
392,54206537,TZ7,2021 
393,54209314,TB15,2021 
394,54212437,UU,2021 
395,54212442,UY,2021 
396,54212938,UW2,2021 
397,54212945,UE3,2021 
398,54213276,UL3,2021 
399,54215193,VB,2021 
400,54215641,UA10,2021 
401,54216184,VL1,2021 
402,54216318,VM2,2021 
403,54217980,UK20,2021 
404,2052750, 1998 KK17,52750
405,2453707,7 2010 XY72,45370
406,2469219,9 Kamo`oalewa 2016 HO3,46921
407,3020897,FJ21,1999 
408,3067588,TH1,2000 
409,3277640,JO3,2005 
410,3373975,GW5,2007 
411,3611400,UC,2012 
412,3838102,CZ,2019 
413,54201816,SK4,2021 
414,54201823,TW,2021 
415,54206536,RN67,2021 
416,54207050,TT9,2021 
417,54207057,TH10,2021 
418,54208622,TJ12,2021 
419,54209221,TH13,2021 
420,54209482,TG15,2021 
421,54212698,UE2,2021 
422,54212937,UU2,2021 
423,54213625,UN4,2021 
424,3735678,XT1,2015 
425,3760083,SZ35,2016 
426,3826811,PG22,2018 
427,3829424,RO5,2018 
428,54016676,HW3,2020 
429,54135437,GB4,2021 
430,54158257,LH5,2021 
431,54192188,RO1,2021 
432,54205447,TW7,2021 
433,54207048,TQ9,2021 
434,54209223,TJ13,2021 
435,54209303,TG14,2021 
436,54209308,TO14,2021 
437,54209313,TA15,2021 
438,54209490,TQ15,2021 
439,54209493,TC16,2021 
440,54212925,UK2,2021 
441,54212940,UD3,2021 
442,54213631,UB5,2021 
443,54214063,UH6,2021 
444,2416195,5 2002 TR190,41619
445,3170208,YG136,2003 
446,3256321,TD10,2004 
447,3430408,TV25,2008 
448,3467395,SJ18,2009 
449,3582523,UC64,2011 
450,3638502,JE29,2013 
451,3702321,YF,2014 
452,3739077,YO10,2015 
453,3781916,SU17,2017 
454,3781991,SP19,2017 
455,3788903,VD,2017 
456,3799787,EB,2018 
457,3827312,RU1,2018 
458,3879235,UA1,2019 
459,54065916,TH6,2020 
460,54137799,HA,2021 
461,54203021,SJ5,2021 
462,54203015,TX2,2021 
463,54203034,TM3,2021 
464,54209310,TX14,2021 
465,54209496,TL20,2021 
466,54212697,UD2,2021 
467,54212924,UJ2,2021 
468,54213277,UM3,2021 
469,54213632,UC5,2021 
470,54213637,UO5,2021 
471,54214065,UL6,2021 
472,54215642,UB10,2021 
473,54215217,VO,2021 
474,3263535,XJ29,2004 
475,3549696,UP,2010 
476,3648846,TS4,2013 
477,3769393,CF32,2017 
478,3774053,HK2,2017 
479,3836927,XM5,2018 
480,54197590,RT16,2021 
481,54199065,RN23,2021 
482,54212438,UT,2021 
483,54212692,UY1,2021 
484,54212929,UO2,2021 
485,54212935,UV2,2021 
486,54215651,UF10,2021 
487,2267337,7 2001 VK5,26733
488,2462959,9 2011 DU,46295
489,3363879,YF,2006 
490,3582232,UG21,2011 
491,3600238,DE61,2012 
492,3774723,KP4,2017 
493,3836169,VM6,2018 
494,54191332,PG46,2021 
495,54196413,RD15,2021 
496,54209495,TK20,2021 
497,54212589,UG1,2021 
498,54212694,UA2,2021 
499,54212926,UL2,2021 
500,54212943,UA3,2021 
501,54212942,UC3,2021 
502,54212947,UG3,2021 
503,54213282,UU3,2021 
504,54213610,UY3,2021 
505,54214064,UJ6,2021 
506,54214728,UN7,2021 
507,54215194,UR7,2021 
508,54215192,VA,2021 
509,54215208,VJ,2021 
510,54216183,UU11,2021 
511,54216381,VF4,2021 
512,54217949,VG5,2021 
513,54217961,VV5,2021 
514,54219293,VG11,2021 
515,54220007,VG19,2021 
516,54221660,VV26,2021 
517,2418198,8 2008 CN70,41819
518,3599863,DF31,2012 
519,3672464,KM39,2014 
520,3736807,YA,2015 
521,3764887,WB10,2016 
522,3774436,HZ49,2017 
523,3781986,SD20,2017 
524,54137136,GZ8,2021 
525,54184277,PQ6,2021 
526,54210564,SL28,2021 
527,54210293,TP21,2021 
528,54212441,UZ,2021 
529,54212690,UW1,2021 
530,54212927,UM2,2021 
531,54213604,UP3,2021 
532,54214060,UE6,2021 
533,54214721,UY6,2021 
534,54215210,VL,2021 
535,54216272,VW1,2021 
536,54216340,VO3,2021 
537,54216370,VU3,2021 
538,54219298,VM11,2021 
539,54219304,VT11,2021 
540,2297300,0 1998 SC15,29730
541,3150194,DZ15,2003 
542,3478009,WD11,2009 
543,3674962,OC4,2014 
544,3733147,VR1,2015 
545,3762440,UW80,2016 
546,54158069,LW3,2021 
547,54200447,SH2,2021 
548,54200452,SN2,2021 
549,54203030,TH3,2021 
550,54212590,UJ1,2021 
551,54212591,UM1,2021 
552,54212688,UT1,2021 
553,54212691,UX1,2021 
554,54213280,UQ3,2021 
555,54213636,UN5,2021 
556,54216317,VJ2,2021 
557,54217979,VO7,2021 
558,54219280,VD10,2021 
559,54224992,WQ2,2021 
560,2485823,3 2012 DF61,48582
561,3163746,UC5,2003 
562,3297391,VR,2005 
563,3445629,CA2,2009 
564,3610765,TJ146,2012 
565,3693520,UV,2014 
566,3761649,UW35,2016 
567,3773747,GG4,2017 
568,3819574,HG2,2018 
569,3843858,RU3,2019 
570,54160164,LO6,2021 
571,54188103,PN40,2021 
572,54191849,QC6,2021 
573,54212934,US2,2021 
574,54212946,UF3,2021 
575,54213275,UK3,2021 
576,54213621,UJ4,2021 
577,54214049,UT5,2021 
578,54214051,UV5,2021 
579,54216337,UF12,2021 
580,2086878, 2000 HD24,86878
581,2162567,7 2000 RW37,16256
582,3120896,GD10,2002 
583,3550089,UY7,2010 
584,3557530,CE50,2011 
585,3781988,SJ20,2017 
586,3802441,GD2,2018 
587,54017167,KW2,2020 
588,54135424,GM3,2021 
589,54137451,GM10,2021 
590,54152388,KB3,2021 
591,54203023,SK5,2021 
592,54209486,TK15,2021 
593,54209488,TO15,2021 
594,54212443,UA1,2021 
595,54212682,UO1,2021 
596,54212689,UV1,2021 
