asteroid_Id,name,found year
2138893,138893 (2000 YH66),2000
2386504,386504 (2009 BP58),2009
3607823,(2012 QL14),2012
3636861,(2013 JE1),2013
3638335,(2013 JV17),2013
3829425,(2018 RR5),2018
3831475,(2018 TB3),2018
54196397,(2021 RG14),2021
54200468,(2021 SZ2),2021
54201824,(2021 TX),2021
54202334,(2021 TF1),2021
54204646,(2021 TK4),2021
54204656,(2021 TC5),2021
2264357,264357 (2000 AZ93),2000
2365424,365424 (2010 KX7),2010
2503871,503871 (2000 SL),2000
2537342,537342 (2015 KN120),2015
3014184,(1998 SD9),1998
3288934,(2005 QQ11),2005
3386134,(2007 SW2),2007
3602702,(2012 HA2),2012
3761267,(2016 TH93),2016
3799312,(2018 CW2),2018
3831202,(2018 TQ1),2018
54076927,(2020 UM5),2020
54195890,(2021 RP12),2021
54199807,(2021 ST),2021
54201817,(2021 SL4),2021
54202344,(2021 TR1),2021
54202993,(2021 TU1),2021
54203033,(2021 TL3),2021
54204649,(2021 TQ4),2021
54204650,(2021 TR4),2021
54204651,(2021 TS4),2021
54204653,(2021 TU4),2021
54206540,(2021 TG8),2021
54206546,(2021 TQ8),2021
54215643,(2021 VQ),2021
54216377,(2021 VD4),2021
2162694,162694 (2000 UH11),2000
2363027,363027 (1998 ST27),1998
3729141,(2015 TQ21),2015
3753621,(2016 KL1),2016
3774099,(2017 HX3),2017
3775206,(2017 LX),2017
3837881,(2019 AF12),2019
3872646,(2019 SS8),2019
54017662,(2020 MO3),2020
54137802,(2021 HB),2021
54144234,(2021 JR2),2021
54185580,(2021 PR16),2021
54200440,(2021 SD2),2021
54201813,(2021 TN),2021
54202995,(2021 TX1),2021
54204648,(2021 TP4),2021
54206543,(2021 TM8),2021
54208045,(2021 TU10),2021
54208623,(2021 TH12),2021
54209295,(2021 TU13),2021
54209297,(2021 TZ13),2021
54209298,(2021 TA14),2021
54210929,(2021 TN22),2021
54215212,(2021 UF9),2021
3036044,(2000 EY106),2000
3732894,(2015 UC67),2015
3831166,(2018 SR3),2018
3869331,(2019 SB6),2019
54016461,(2020 GB1),2020
54016667,(2020 HM3),2020
54185140,(2021 PB15),2021
54193831,(2021 RG4),2021
54200293,(2021 RL25),2021
54200438,(2021 SC2),2021
54206544,(2021 TO8),2021
54208624,(2021 TR12),2021
54209300,(2021 TH14),2021
