asteroid_Id,estimated diameter_min_km,estimated diameter_max_km,absolute_magnitude
2138893,0.6435095206,1.4389310323,18.08
2386504,0.4836764882,1.0815335068,18.7
3607823,0.0350392641,0.0783501764,24.4
3636861,0.3841978911,0.8590926012,19.2
3638335,0.0073207399,0.016369672,27.8
3829425,0.0146067964,0.0326617897,26.3
3831475,0.0121494041,0.0271668934,26.7
54196397,0.0464039528,0.1037623929,23.79
54200468,0.0606114923,0.1355314169,23.21
54201824,0.0015436718,0.0034517551,31.18
54202334,0.0174805453,0.0390876876,25.91
54204646,0.058150704,0.130028927,23.3
54204656,0.0105330702,0.0235526609,27.01
2264357,0.1638909515,0.3664713084,21.05
2365424,0.1108038821,0.2477650126,21.9
2503871,0.620233153,1.3868834919,18.16
2537342,0.21505769,0.4808836139,20.46
3014184,0.0404161533,0.0903732663,24.09
3288934,0.0921626549,0.2060819612,22.3
3386134,0.1460679643,0.3266178974,21.3
3602702,0.1529519353,0.3420109247,21.2
3761267,0.0802703167,0.1794898848,22.6
3799312,0.0183888672,0.0411187571,25.8
3831202,0.046190746,0.1032856481,23.8
54076927,0.0167708462,0.0375007522,26.0
54195890,0.0324007435,0.0724502651,24.57
54199807,0.0168482569,0.0376738478,25.99
54201817,0.0310852938,0.0695088301,24.66
54202344,0.0257368254,0.0575492912,25.07
54202993,0.0880146521,0.1968067451,22.4
54203033,0.0271991277,0.0608190985,24.95
54204649,0.0027324673,0.0061099827,29.94
54204650,0.0073207399,0.016369672,27.8
54204651,0.0069591304,0.0155610887,27.91
54204653,0.0146742183,0.0328125497,26.29
54206540,0.0088014652,0.0196806745,27.4
54206546,0.0106795998,0.023880311,26.98
54215643,0.0345585074,0.0772751717,24.43
54216377,0.0535247906,0.1196850702,23.48
2162694,0.3195618867,0.7145621017,19.6
2363027,0.313729225,0.7015198735,19.64
3729141,0.0088014652,0.0196806745,27.4
3753621,0.1529519353,0.3420109247,21.2
3774099,0.1160259082,0.2594418179,21.8
3775206,0.0146067964,0.0326617897,26.3
3837881,0.313729225,0.7015198735,19.64
3872646,0.022108281,0.0494356193,25.4
54017662,0.0319561887,0.0714562102,24.6
54137802,0.0119276525,0.0266710417,26.74
54144234,0.0334622374,0.0748238376,24.5
54185580,0.0128989683,0.02884297,26.57
54200440,0.0112345318,0.0251211767,26.87
54201813,0.0180532326,0.0403682552,25.84
54202995,0.0092162655,0.0206081961,27.3
54204648,0.0316632126,0.0708010957,24.62
54206543,0.0073545309,0.016445231,27.79
54208045,0.011131533,0.0248908644,26.89
54208623,0.0705594158,0.1577756503,22.88
54209295,0.0191670368,0.0428587972,25.71
54209297,0.0181365625,0.0405545866,25.83
54209298,0.0197040262,0.044059542,25.65
54210929,0.0494942761,0.1106725658,23.65
54215212,0.0518268695,0.1158884032,23.55
3036044,0.3455850738,0.7727517171,19.43
3732894,0.3151773333,0.7047579421,19.63
3831166,0.0211132445,0.0472106499,25.5
3869331,0.0116025908,0.0259441818,26.8
54016461,0.0110803882,0.0247765013,26.9
54016667,0.0291443905,0.0651688382,24.8
54185140,0.1123453177,0.2512117673,21.87
54193831,0.0457672667,0.1023387195,23.82
54200293,0.0589596608,0.1318378096,23.27
54200438,0.0300992017,0.067303861,24.73
54206544,0.0070235225,0.0157050737,27.89
54208624,0.0201629919,0.0450858206,25.6
54209300,0.0331554538,0.0741378485,24.52
54210295,0.0142087207,0.0317716653,26.36
2533372,0.2424124811,0.5420507863,20.2
3789115,0.2412986969,0.5395602892,20.21
3799247,0.0530340723,0.1185877909,23.5
3989315,0.0027832677,0.0062235757,29.9
54145576,0.0439091446,0.0981838322,23.91
54190789,0.046190746,0.1032856481,23.8
54203037,0.0132603497,0.0296510433,26.51
54203013,0.0190789723,0.0426618789,25.72
54204654,0.0921626549,0.2060819612,22.3
54208039,0.0142087207,0.0317716653,26.36
2100004,1.3383046182,2.9925401008,16.49
2283460,0.5502435705,1.2303820278,18.42
2308635,0.1108038821,0.2477650126,21.9
3120889,0.1797028549,0.4018277992,20.85
3350633,0.1108038821,0.2477650126,21.9
3617387,0.2424124811,0.5420507863,20.2
3662633,0.0305179233,0.0682401509,24.7
3745996,0.1363185559,0.3048175575,21.45
3759288,0.0152951935,0.0342010925,26.2
3785769,0.0242412481,0.0542050786,25.2
3827354,0.0073207399,0.016369672,27.8
3873144,0.0291443905,0.0651688382,24.8
3873208,0.1272198785,0.2844722965,21.6
54145460,0.0419329075,0.0937648318,24.01
54200437,0.0131994239,0.0295148091,26.52
54202336,0.0060891262,0.0136157002,28.2
54202992,0.0060891262,0.0136157002,28.2
54205437,0.0250354255,0.0559809132,25.13
54205441,0.0201629919,0.0450858206,25.6
54207047,0.0248058993,0.0554676771,25.15
2494710,0.1838886721,0.411187571,20.8
2519354,0.1344481952,0.3006353038,21.48
3070801,0.0840533402,0.1879489824,22.5
3608823,0.0096506147,0.0215794305,27.2
54131529,0.0099209892,0.0221840062,27.14
54194969,0.1997813652,0.4467247133,20.62
54200306,0.0134448195,0.0300635304,26.48
54201810,0.0164647438,0.0368162863,26.04
54202330,0.0177237239,0.0396314515,25.88
54207056,0.0074568426,0.016674007,27.76
54207058,0.0042516252,0.0095069231,28.98
2408982,0.1970402621,0.4405954204,20.65
3136727,0.2140695897,0.4786741544,20.47
3154520,0.0242412481,0.0542050786,25.2
3256323,0.1724070324,0.3855138443,20.94
3429684,0.022108281,0.0494356193,25.4
3430490,0.0550243571,0.1230382028,23.42
3648538,0.0278326768,0.0622357573,24.9
3840693,0.2927891485,0.6546964391,19.79
3842680,0.0732073989,0.1636967205,22.8
3893382,0.0319561887,0.0714562102,24.6
3991547,0.0366906138,0.0820427065,24.3
54054609,0.0022312846,0.0049893041,30.38
54143417,0.0096506147,0.0215794305,27.2
54189957,0.1756123185,0.3926810818,20.9
54193837,0.0256185754,0.0572848762,25.08
